ID	Score	Intervention	Observed Node	Value
455	1.0	ABA=0,ABI1=1	NO	OFF
456	1.0	ABA=1,ABI1=1	NO	ON
457	1.0	ABA=0,ABI2=1	NO	OFF
458	1.0	ABA=1,ABI2=1	NO	ON
459	1.0	ABA=0,PA=1	RBOH	ON
460	1.0	ABA=0,PA=1	ROS	ON
461	1.0	ABA=0,PC=1	RBOH	OFF
462	1.0	ABA=0,PC=1	ROS	OFF
463	1.0	ABA=0,PA=1,RBOH=0	ROS	OFF
464	1.0	ABA=0	OST1	OFF
465	1.0	ABA=1	OST1	ON
466	1.0	ABA=0,ABI1=0,ABI2=0,HAB1=0,PP2CA=0	OST1	OFF
467	1.0	ABA=1,ABI1=0,ABI2=0,HAB1=0,PP2CA=0	OST1	ON
468	1.0	ABA=0,CPK6=0,CPK23=0	OST1	OFF
469	1.0	ABA=1,CPK6=0,CPK23=0	OST1	ON
470	1.0	ABA=0,CPK6=0	OST1	OFF
471	1.0	ABA=1,CPK6=0	OST1	ON
472	1.0	ABA=0	ABI1	ON
473	1.0	ABA=1	ABI1	OFF
474	1.0	ABA=0	ABI2	ON
475	1.0	ABA=1	ABI2	OFF
476	1.0	ABA=0	HAB1	ON
477	1.0	ABA=1	HAB1	OFF
478	1.0	ABA=0	PP2CA	ON
479	1.0	ABA=1	PP2CA	OFF
480	1.0	ABA=0	H_ATPase	ON
481	1.0	ABA=1	H_ATPase	OFF
482	1.0	ABA=0	Malate	ON
483	1.0	ABA=1	Malate	OFF
484	1.0	ABA=0	InsP3	OFF
485	1.0	ABA=1	InsP3	ON
486	1.0	ABA=0	S1P_PhytoS1P	OFF
487	1.0	ABA=1	S1P_PhytoS1P	ON
488	1.0	ABA=0	SPHK1_2	OFF
489	1.0	ABA=1	SPHK1_2	ON
490	1.0	ABA=0	RCARs	OFF
491	1.0	ABA=1	RCARs	ON
