Regulator,Target,Sign in BBM,Model,Sign,Classification,Confidence rank,Constraint,Notes
FOXO3,ESR1,ambiguous,TGEN,positive,direct,1,regulates,regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription
FOXO3,ESR1,ambiguous,MCF7,positive,direct,1,regulates,regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription
FOXO3,ESR1,ambiguous,T47D,positive,direct,1,regulates,regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription
FOXO3,ESR1_2,ambiguous,Z17,positive,direct,1,regulates,regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription. We assume the classification of the FOXO3->ESR1 edge applies to ESR1_2 as well.
FOXO3,ESR1_2,positive,Z21,positive,direct,1,regulates,"regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription. We assume the classification of the FOXO3->ESR1 edge applies to ESR1_2 as well."
FOXO3,FASLG,ambiguous,TGEN,positive,direct,1,regulates,regulation of transcription. FOXO3 binds forkhead-response elements in the FASLG promoter and activate FASL transcription; constitutively active FOXO3 increases FASL promoter activity.
FOXO3,FASLG,ambiguous,MCF7,positive,direct,1,regulates,regulation of transcription. FOXO3 in particular has been shown to bind forkhead-response elements in the FASLG promoter and activate FASL transcription; constitutively active FOXO3 increases FASL promoter activity
FOXO3,FASLG,ambiguous,T47D,positive,direct,1,regulates,regulation of transcription. FOXO3 in particular has been shown to bind forkhead-response elements in the FASLG promoter and activate FASL transcription; constitutively active FOXO3 increases FASL promoter activity
FOXO3,FOXA1,ambiguous,Z17,,,,,
FOXO3,HER2,ambiguous,T47D,positive,direct,1,regulates,regulation of transcription. FOXO3a directly binds the ERBB2/HER2 promoter and activates its transcription.
FOXO3,HER3,ambiguous,Z17,positive,direct,1,regulates,regulation of transcription. FOXO3 binds regulatory regions of ERBB3/HER3 and leads to increased HER3 transcription
FOXO3,HER3,positive,Z21,positive,direct,1,regulates,regulation of transcription. FOXO3 binds regulatory regions of ERBB3/HER3 and leads to increased HER3 transcription
FOXO3,HER3_2,ambiguous,Z17,positive,direct,1,regulates,regulation of transcription. FOXO3 binds regulatory regions of ERBB3/HER3 and leads to increased HER3 transcription. We assume that the confidence ranking of this edge is the same as that of FOXO3->HER3.
FOXO3,HER3_2,positive,Z21,positive,direct,1,regulates,regulation of transcription. FOXO3 binds regulatory regions of ERBB3/HER3 and leads to increased HER3 transcription. We assume that the confidence ranking of this edge is the same as that of FOXO3->HER3.
FOXO3,IGF1R,ambiguous,Z17,positive,indirect,2,,"There is causal evidence that activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known."
FOXO3,IGF1R,positive,Z21,positive,indirect,2,,"There is causal evidence that activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known."
FOXO3,IGF1R,ambiguous,TGEN,positive,indirect,2,,"There is causal evidence that activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known."
FOXO3,IGF1R,ambiguous,MCF7,positive,indirect,2,,"There is causal evidence that activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known."
FOXO3,IGF1R,ambiguous,T47D,positive,indirect,2,,"There is causal evidence that activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known."
FOXO3,IGF1R_2,ambiguous,Z17,positive,indirect,2,,"There is causal evidence that activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known. We assume that the confidence rank of the FOXO3->IGF1 edge applies to IGF1R_2 as well."
FOXO3,IGF1R_2,positive,Z21,positive,indirect,2,,"There is causal evidence that activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known."
FOXO3,INSR,ambiguous,TGEN,positive,unsupported,,,This edge is not supported by experimental evidence
FOXO3,INSR,ambiguous,MCF7,positive,unsupported,,,This edge is not supported by experimental evidence
FOXO3,INSR,ambiguous,T47D,positive,unsupported,,,This edge is not supported by experimental evidence
FOXO3,MYC,ambiguous,MCF7,,,,,
FOXO3,MYC,ambiguous,T47D,,,,,
FOXO3,p21_p27_T,ambiguous,Z17,positive,direct,1,regulates,"FOXO3 binds both the CDKN1A (p21) and CDKN1B (p27) promoter, and activates the transcription of both. "
FOXO3,p21_p27_T,positive,Z21,positive,direct,1,regulates,"FOXO3 binds both the CDKN1A (p21) and CDKN1B (p27) promoter, and activates the transcription of both. "
FOXO3,STK11,ambiguous,T47D,,,,,
FOXO3_Ub,FOXO3,ambiguous,Z17,,,,,
FOXO3_Ub,FOXO3,negative,Z21,,,,,
Fulvestrant,ESR1,ambiguous,Z17,negative,direct,1,regulates,Fulvestrant is a selective estrogen receptor degrader/downregulator (SERD). It directly binds ERα (ESR1 protein) with high affinity.
Fulvestrant,ESR1,negative,Z21,negative,direct,1,regulates,Fulvestrant is a selective estrogen receptor degrader/downregulator (SERD). It directly binds ERα (ESR1 protein) with high affinity.
Fulvestrant,ESR1_2,ambiguous,Z17,negative,direct,1,regulates,Fulvestrant is a selective estrogen receptor degrader/downregulator (SERD). It directly binds ERα (ESR1 protein) with high affinity.
Fulvestrant,ESR1_2,negative,Z21,negative,direct,1,regulates,Fulvestrant is a selective estrogen receptor degrader/downregulator (SERD). It directly binds ERα (ESR1 protein) with high affinity.
FZD3,DVL1,ambiguous,TGEN,positive,,,,
FZD3,DVL1,ambiguous,MCF7,,,,,
FZD3,DVL1,ambiguous,T47D,,,,,
GATA3,PPARG,ambiguous,TGEN,negative,,,,
GATA3,PPARG,ambiguous,MCF7,,,,,
GATA3,PPARG,ambiguous,T47D,,,,,
GRB2,ABL1,ambiguous,TGEN,positive,,,,
GRB2,ABL1,ambiguous,MCF7,,,,,
GRB2,ABL1,ambiguous,T47D,,,,,
GRB2,SOS1,ambiguous,TGEN,positive,,,,
GRB2,SOS1,ambiguous,MCF7,,,,,
GRB2,SOS1,ambiguous,T47D,,,,,
GRB7,RND1,ambiguous,TGEN,positive,,,,
GRB7,RND1,ambiguous,MCF7,,,,,
GRB7,RND1,ambiguous,T47D,,,,,
GSK3B,AXIN1,ambiguous,TGEN,positive,,,,
GSK3B,AXIN1,ambiguous,MCF7,,,,,
GSK3B,AXIN1,ambiguous,T47D,,,,,
GSK3B,CyclinD,negative,BL,negative,direct,1,regulates,"GSK3B directly phosphorylates Cyclin D1 at Thr286, promoting its nuclear export and degradation."
GSK3B,CyclinD,negative,SL,negative,direct,1,regulates,"GSK3B directly phosphorylates Cyclin D1 at Thr286, promoting its nuclear export and degradation."
GSK3B,CYCLINDc,ambiguous,TGEN,negative,direct,2,,"GSK3B promotes the nuclear export and degradation of CyclinD1, thus less cyclin-CDK complex CYCLINDc can be formed."
GSK3B,CYCLINDc,ambiguous,MCF7,negative,direct,2,,"GSK3B promotes the nuclear export and degradation of CyclinD1, thus less cyclin-CDK complex CYCLINDc can be formed."
GSK3B,CYCLINDc,ambiguous,T47D,negative,direct,2,,"GSK3B promotes the nuclear export and degradation of CyclinD1, thus less cyclin-CDK complex CYCLINDc can be formed."
GSK3B,DC,ambiguous,TGEN,positive,,,,
GSK3B,DC,ambiguous,MCF7,,,,,
GSK3B,DC,ambiguous,T47D,,,,,
GSK3B,GSK3B,positive,BL,,,,,
GSK3B,GSK3B,positive,HL,,,,,
GSK3B,GSK3B,positive,SL,,,,,
GSK3B,JUN,negative,BL,,,,,
GSK3B,JUN,negative,HL,,,,,
GSK3B,JUN,negative,SL,,,,,
GSK3B,MCL1,ambiguous,TGEN,negative,direct in the network sense,1,regulates,"GSK3B phosphorylates MCL1. This creates/promotes a phosphodegron that is recognized by ubiquitin ligases, leading to MCL1 ubiquitination and proteasomal degradation."
GSK3B,MCL1,ambiguous,MCF7,negative,direct in the network sense,1,regulates,"GSK3B phosphorylates MCL1. This creates/promotes a phosphodegron that is recognized by ubiquitin ligases, leading to MCL1 ubiquitination and proteasomal degradation."
GSK3B,MCL1,ambiguous,T47D,negative,direct in the network sense,1,regulates,"GSK3B phosphorylates MCL1. This creates/promotes a phosphodegron that is recognized by ubiquitin ligases, leading to MCL1 ubiquitination and proteasomal degradation."
GSK3B,MYC,ambiguous,TGEN,negative,,,,
GSK3B,MYC,ambiguous,MCF7,,,,,
GSK3B,MYC,ambiguous,T47D,,,,,
GSK3B,PTEN,negative,BL,,,,,
GSK3B,PTEN,negative,HL,,,,,
GSK3B,PTEN,negative,SL,,,,,
GSK3B,TSC2,negative,BL,,,,,
GSK3B,TSC2,negative,HL,,,,,
GSK3B,TSC2,negative,SL,,,,,
GSK3B,TSC2,ambiguous,TGEN,positive,,,,
GSK3B,TSC2,ambiguous,MCF7,,,,,
GSK3B,TSC2,ambiguous,T47D,,,,,
HER2,AKT,positive,BL,positive,indirect,2,,"causal effect mediated by PI3K, others"
HER2,AKT,positive,HL,positive,indirect,2,,"causal effect mediated by PI3K, others"
HER2,AKT,positive,SL,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER2,EGFR,ambiguous,TGEN,positive,direct,1,,protein-protein interaction; heterodimerization activates EGFR
HER2,EGFR,ambiguous,MCF7,positive,direct,1,,protein-protein interaction; heterodimerization activates EGFR
HER2,EGFR,ambiguous,T47D,positive,direct,1,,protein-protein interaction; heterodimerization activates EGFR
HER2,GRB2,ambiguous,T47D,,,,,
HER2,HER2,positive,BL,positive,direct,1,regulates,homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
HER2,HER2,positive,HL,positive,direct,1,regulates,homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
HER2,HER2,positive,BS,positive,direct,1,regulates,homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
HER2,HER2,positive,HS,positive,direct,1,regulates,homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
HER2,HER2,positive,SS,positive,direct,1,regulates,homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
HER2,HER2,positive,SL,,,,,
HER2,HER2HER3c,ambiguous,Z17,positive,,0,necessary,This edge represents HER2's participation in the HER2HER3c heterodimer complex.
HER2,HER2HER3c,positive,Z21,positive,,0,necessary,This edge represents HER2's participation in the HER2HER3c heterodimer complex.
HER2,HER2HER3c_2,ambiguous,Z17,positive,,0,necessary,HER2's participation in the HER2HER3c heterodimer complex; we consider that the confidence ranking applies to this edge as well.
HER2,HER2HER3c_2,positive,Z21,positive,,0,necessary,HER2's participation in the HER2HER3c heterodimer complex; we consider that the confidence ranking applies to this edge as well.
HER2,HER3,ambiguous,TGEN,positive,unsupported,,,"The effect of HER2 on HER3 is through HER2-HER3 heterodimer formation, which is represented by the HER2HER3c node."
HER2,HER3,ambiguous,MCF7,positive,unsupported,,,"The effect of HER2 on HER3 is through HER2-HER3 heterodimer formation, which is represented by the HER2HER3c node."
HER2,HER3,ambiguous,T47D,positive,unsupported,,,"The effect of HER2 on HER3 is through HER2-HER3 heterodimer formation, which is represented by the HER2HER3c node."
HER2,IGF1R,ambiguous,Z17,positive,assumption,4,,This assumed edge is consistent with observed higher IGF1R signaling in trastuzumab-resistant cells
HER2,IGF1R,positive,Z21,positive,assumption,4,,This assumed edge is consistent with observed higher IGF1R signaling in trastuzumab-resistant cells
HER2,IGF1R_2,ambiguous,Z17,positive,assumption,4,,This assumed edge is consistent with observed higher IGF1R signaling in trastuzumab-resistant cells
HER2,IGF1R_2,positive,Z21,positive,assumption,4,,This assumed edge is consistent with observed higher IGF1R signaling in trastuzumab-resistant cells
HER2,MEK,positive,BS,positive,indirect,2,,"causal effect mediated by RAS, RAF"
HER2,MEK,positive,HS,positive,indirect,2,,"causal effect mediated by RAS, RAF"
HER2,MEK,positive,SS,positive,indirect,2,,"causal effect mediated by RAS, RAF"
HER2,PDK1_pm,positive,BS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER2,PDK1_pm,positive,HS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER2,PDK1_pm,positive,SS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER2,PLCg,positive,BS,positive,direct,1,regulates,Activated HER2 binds to PLCgamma1 and phosphorylates it.
HER2,PLCg,positive,HS,positive,direct,1,regulates,Activated HER2 binds to PLCgamma1 and phosphorylates it.
HER2,PLCg,positive,SS,positive,direct,1,regulates,Activated HER2 binds to PLCgamma1 and phosphorylates it.
HER2,RAF1,positive,BL,positive,indirect,2,,causal effect mediated by adaptor proteins and RAS
HER2,RAF1,positive,HL,positive,indirect,2,,causal effect mediated by adaptor proteins and RAS
HER2,RAF1,positive,SL,positive,indirect,2,,causal effect mediated by adaptor proteins and RAS
HER2,RB,positive,SL,,,,,
HER2,S6K,positive,SL,,,,,
HER2,TSC2,positive,SL,,,,,
HER2HER3c,HER2HER3c_2,ambiguous,Z17,positive,,0,necessary,Reaching a higher level necessitates reaching the lower level first
HER2HER3c,HER2HER3c_2,positive,Z21,positive,,0,necessary,Reaching a higher level necessitates reaching the lower level first
HER2HER3c,PI3K,ambiguous,Z17,positive,,,,Phosphorylated HER3 within the HER2–HER3 complex directly recruits PI3K by binding to its p85 subunit.
HER2HER3c,PI3K,positive,Z21,positive,,,,Phosphorylated HER3 within the HER2–HER3 complex directly recruits PI3K by binding to its p85 subunit.
HER2HER3c,RAS,ambiguous,Z17,positive,,,,
HER2HER3c,RAS,positive,Z21,positive,,,,
HER2HER3c,RAS_2,ambiguous,Z17,positive,,,,
HER2HER3c,RAS_2,positive,Z21,positive,,,,
HER2HER3c_2,HER2HER3c,ambiguous,Z17,positive,unsupported,,,This edge is an artifact of the representation of multi-level variables
HER2HER3c_2,HER2HER3c,positive,Z21,positive,unsupported,,,This edge is an artifact of the representation of multi-level variables
HER2HER3c_2,PI3K,ambiguous,Z17,positive,direct,1,regulates,Phosphorylated HER3 within the HER2–HER3 complex directly recruits PI3K by binding to its p85 subunit. We consider that the confidence ranking of the edge with the lower-level variable applies.
HER2HER3c_2,PI3K,positive,Z21,positive,direct,1,regulates,Phosphorylated HER3 within the HER2–HER3 complex directly recruits PI3K by binding to its p85 subunit. We consider that the confidence ranking of the edge with the lower-level variable applies.
HER2HER3c_2,PI3K_2,ambiguous,Z17,positive,direct,1,regulates,Phosphorylated HER3 within the HER2–HER3 complex directly recruits PI3K by binding to its p85 subunit. We consider that the confidence ranking of the edge with the lower-level variable applies.
HER2HER3c_2,PI3K_2,positive,Z21,positive,direct,1,regulates,Phosphorylated HER3 within the HER2–HER3 complex directly recruits PI3K by binding to its p85 subunit. We consider that the confidence ranking of the edge with the lower-level variable applies.
HER2HER3c_2,RAS,ambiguous,Z17,,,,,
HER2HER3c_2,RAS,positive,Z21,,,,,
HER2HER3c_2,RAS_2,ambiguous,Z17,,,,,
HER2HER3c_2,RAS_2,positive,Z21,,,,,
HER2HER3c_2,RAS_3,ambiguous,Z17,,,,,
HER2HER3c_2,RAS_3,positive,Z21,,,,,
HER3,AKT,positive,BL,positive,indirect,2,,"causal effect mediated by PI3K, others"
HER3,AKT,positive,HL,positive,indirect,2,,"causal effect mediated by PI3K, others"
HER3,AKT,positive,BS,positive,indirect,2,,"causal effect mediated by PI3K, others"
HER3,AKT,positive,HS,positive,indirect,2,,"causal effect mediated by PI3K, others"
HER3,AKT,positive,SS,positive,indirect,2,,"causal effect mediated by PI3K, others"
HER3,AKT,positive,SL,positive,indirect,2,,"causal effect mediated by PI3K, others"
HER3,CyclinB1,positive,BL,,,,,
HER3,EGFR,positive,HL,,,,,
HER3,EGFR,ambiguous,TGEN,positive,direct,1,regulates,protein-protein interaction; heterodimerization activates EGFR
HER3,EGFR,ambiguous,MCF7,,,,,
HER3,EGFR,ambiguous,T47D,,,,,
HER3,ERK,positive,SS,positive,indirect,2,,"causal effect mediated by HER2HER3c, RAS, RAF, MEK"
HER3,HER2,positive,BS,positive,unsupported,,,The HER2-HER3 heterodimer formation is better represented with a separate HER2HER3c node
HER3,HER2,ambiguous,TGEN,positive,unsupported,,,The HER2-HER3 heterodimer formation is better represented with a separate HER2HER3c node
HER3,HER2,ambiguous,MCF7,,,,,
HER3,HER2,ambiguous,T47D,,,,,
HER3,HER2HER3c,ambiguous,Z17,,,,,
HER3,HER2HER3c,positive,Z21,,,,,
HER3,HER2HER3c_2,ambiguous,Z17,,,,,
HER3,HER2HER3c_2,positive,Z21,,,,,
HER3,HER3,positive,BL,,,,,
HER3,HER3,positive,HL,,,,,
HER3,HER3,positive,BS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
HER3,HER3,positive,HS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
HER3,HER3,positive,SS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
HER3,HER3,positive,SL,,,,,
HER3,HER3_2,ambiguous,Z17,,,,,
HER3,HER3_2,positive,Z21,,,,,
HER3,MEK,positive,BS,positive,indirect,2,,"causal effect mediated by HER2HER3c, RAS, RAF"
HER3,MEK,positive,HS,positive,indirect,2,,"causal effect mediated by HER2HER3c, RAS, RAF"
HER3,MEK,positive,SS,positive,indirect,2,,"causal effect mediated by HER2HER3c, RAS, RAF"
HER3,NFKB,positive,SL,,,,,
HER3,PDK1_pm,positive,BS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER3,PDK1_pm,positive,HS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER3,PDK1_pm,positive,SS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER3,PLCg,positive,BS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
HER3,PLCg,positive,HS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
HER3,PLCg,positive,SS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
HER3,PRAS40,positive,SL,,,,,
HER3_2,HER2HER3c,ambiguous,Z17,,,,,
HER3_2,HER2HER3c,positive,Z21,,,,,
HER3_2,HER2HER3c_2,ambiguous,Z17,,,,,
HER3_2,HER2HER3c_2,positive,Z21,,,,,
HER3_2,HER3,ambiguous,Z17,,,,,
HER3_2,HER3,positive,Z21,,,,,
HER3_T,HER3,ambiguous,Z17,,,,,
HER3_T,HER3,positive,Z21,,,,,
HES1,MYOD1,ambiguous,TGEN,negative,,,,
HES1,MYOD1,ambiguous,MCF7,,,,,
HES1,MYOD1,ambiguous,T47D,,,,,
HES1,PAX7,ambiguous,TGEN,negative,,,,
HES1,PAX7,ambiguous,MCF7,,,,,
HEY1,MYOG,ambiguous,TGEN,negative,,,,
HEY1,MYOG,ambiguous,MCF7,,,,,
HEY1,MYOG,ambiguous,T47D,,,,,
HEY1,PAX7,ambiguous,TGEN,negative,,,,
HEY1,PAX7,ambiguous,MCF7,,,,,
HRAS,RAF1,ambiguous,TGEN,positive,,,,
HRAS,RAF1,ambiguous,MCF7,,,,,
HRAS,RAF1,ambiguous,T47D,,,,,
HSP90AA1,NOS3,ambiguous,TGEN,positive,,,,
HSP90AA1,NOS3,ambiguous,MCF7,,,,,
HSP90AA1,NOS3,ambiguous,T47D,,,,,
IGF1,AKT,ambiguous,TGEN,positive,indirect,2,,"causal effect mediated by IGFR, IRS1, PI3K, others"
IGF1,AKT,ambiguous,MCF7,positive,indirect,2,,"causal effect mediated by IGFR, IRS1, PI3K"
IGF1,CYCLINDc,ambiguous,MCF7,positive,indirect,2,,"causal effect mediated by IGFR, PI3K, ERK"
IGF1,CYCLINDc,ambiguous,T47D,positive,indirect,2,,"causal effect mediated by IGFR, PI3K, ERK"
IGF1,HRAS,ambiguous,TGEN,positive,,,,
IGF1,HRAS,ambiguous,MCF7,,,,,
IGF1,IGF1R,ambiguous,TGEN,positive,,,,
IGF1,IGF1R,ambiguous,MCF7,,,,,
IGF1,IGF1R,ambiguous,T47D,,,,,
IGF1,mTORC1,ambiguous,TGEN,positive,indirect,2,,"causal effect mediated by PI3K, AKT"
IGF1,mTORC1,ambiguous,MCF7,,,,,
IGF1,mTORC1,ambiguous,T47D,,,,,
IGF1,MYC,ambiguous,MCF7,,,,,
IGF1,MYC,ambiguous,T47D,,,,,
IGF1,RAS,ambiguous,TGEN,positive,,,,
IGF1,RAS,ambiguous,MCF7,,,,,
IGF1R,AKT,ambiguous,TGEN,positive,indirect,2,,"causal effect mediated by IRS1, PI3K, others"
IGF1R,AKT,ambiguous,MCF7,positive,indirect,2,,"causal effect mediated by IRS1, PI3K"
IGF1R,AKT,ambiguous,T47D,positive,indirect,2,,"causal effect mediated by IRS1, PI3K"
IGF1R,IGF1R_2,ambiguous,Z17,,,,,
IGF1R,IGF1R_2,positive,Z21,,,,,
IGF1R,IRS1,ambiguous,TGEN,positive,,,,
IGF1R,IRS1,ambiguous,MCF7,,,,,
IGF1R,IRS1,ambiguous,T47D,,,,,
IGF1R,PDK1_pm,ambiguous,TGEN,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
IGF1R,PDK1_pm,ambiguous,MCF7,,,,,
IGF1R,PDK1_pm,ambiguous,T47D,,,,,
IGF1R,PI3K,ambiguous,Z17,,,,,
IGF1R,PI3K,positive,Z21,,,,,
IGF1R,PI3K,ambiguous,TGEN,positive,indirect,2,,causal effect mediated by IRS1
IGF1R,PI3K,ambiguous,MCF7,,,,,
IGF1R,PI3K,ambiguous,T47D,,,,,
IGF1R,RAS,ambiguous,Z17,,,,,
IGF1R,RAS,positive,Z21,,,,,
IGF1R_2,IGF1R,ambiguous,Z17,,,,,
IGF1R_2,IGF1R,positive,Z21,,,,,
IGF1R_2,PI3K,ambiguous,Z17,,,,,
IGF1R_2,PI3K,positive,Z21,,,,,
IGF1R_2,RAS,ambiguous,Z17,,,,,
IGF1R_2,RAS,positive,Z21,,,,,
IGF1R_T,IGF1R,ambiguous,Z17,,,,,
IGF1R_T,IGF1R,positive,Z21,,,,,
IGF1R_T,IGF1R_2,ambiguous,Z17,,,,,
IGF1R_T,IGF1R_T,positive,Z21,,,,,
IGF1R_T,IGF1R_T_2,positive,Z21,,,,,
IGF1R_T_2,IGF1R_2,positive,Z21,,,,,
IGF1R_T_2,IGF1R_T,positive,Z21,,,,,
IGF1R_T_2,IGF1R_T_2,positive,Z21,,,,,
IL1B,IL6,ambiguous,TGEN,positive,,,,
IL1B,IL6,ambiguous,MCF7,,,,,
IL1B,IL6,ambiguous,T47D,,,,,
IL1B,STAT3,ambiguous,TGEN,positive,,,,
IL1B,STAT3,ambiguous,MCF7,,,,,
IL1B,STAT3,ambiguous,T47D,,,,,
IL6,IL6,ambiguous,TGEN,positive,,,,
IL6,IL6,ambiguous,MCF7,,,,,
IL6,IL6,ambiguous,T47D,,,,,
IL6,IL6R,ambiguous,TGEN,positive,direct,1,regulates,ligand-receptor binding
IL6,IL6R,ambiguous,MCF7,positive,direct,1,regulates,ligand-receptor binding
IL6,IL6R,ambiguous,T47D,positive,direct,1,regulates,ligand-receptor binding
IL6R,JAK2,ambiguous,TGEN,positive,direct,1,regulates,JAK2 is physically associated with the GP130 subunit of the receptor complex; receptor activation directly causes JAK activation.
IL6R,JAK2,ambiguous,MCF7,positive,direct,1,regulates,JAK2 is physically associated with the GP130 subunit of the receptor complex; receptor activation directly causes JAK activation.
IL6R,JAK2,ambiguous,T47D,positive,direct,1,regulates,JAK2 is physically associated with the GP130 subunit of the receptor complex; receptor activation directly causes JAK activation.
IL8,JAK2,ambiguous,TGEN,positive,unsupported,,,"IL-8 (CXCL8) signals through the GPCRs CXCR1 and CXCR2, not through a JAK-associated cytokine receptor."
IL8,JAK2,ambiguous,MCF7,positive,unsupported,,,"IL-8 (CXCL8) signals through the GPCRs CXCR1 and CXCR2, not through a JAK-associated cytokine receptor."
IL8,JAK2,ambiguous,T47D,positive,unsupported,,,"IL-8 (CXCL8) signals through the GPCRs CXCR1 and CXCR2, not through a JAK-associated cytokine receptor."
INS,IGF1R,ambiguous,TGEN,positive,direct,1,regulates,Insulin can directly bind IGF1R and weakly activate its intrinsic tyrosine kinase.
INS,IGF1R,ambiguous,MCF7,positive,direct,1,regulates,Insulin can directly bind IGF1R and weakly activate its intrinsic tyrosine kinase. 
INS,INSR,ambiguous,TGEN,positive,direct,1,regulates,ligand-receptor binding
INS,INSR,ambiguous,MCF7,positive,direct,1,regulates,ligand-receptor binding
INS,INSR,ambiguous,T47D,positive,direct,1,regulates,ligand-receptor binding
INSR,GRB7,ambiguous,TGEN,positive,direct,1,regulates,"Activated INSR becomes tyrosine-phosphorylated, the adaptor protein GRB7 bind sit through its SH2 domain, INSR then promotes GRB7 tyrosine phosphorylation."
INSR,GRB7,ambiguous,MCF7,positive,direct,1,regulates,"Activated INSR becomes tyrosine-phosphorylated, the adaptor protein GRB7 bind sit through its SH2 domain, INSR then promotes GRB7 tyrosine phosphorylation."
INSR,GRB7,ambiguous,T47D,positive,direct,1,regulates,"Activated INSR becomes tyrosine-phosphorylated, the adaptor protein GRB7 bind sit through its SH2 domain, INSR then promotes GRB7 tyrosine phosphorylation."
INSR,IRS1,ambiguous,TGEN,positive,direct,1,regulates,Activated INSR recruits IRS1 and phosphorylates IRS1 on multiple tyrosine residues. Those phosphotyrosines then serve as docking sites for downstream signaling proteins.
INSR,IRS1,ambiguous,MCF7,positive,direct,1,regulates,Activated INSR recruits IRS1 and phosphorylates IRS1 on multiple tyrosine residues. Those phosphotyrosines then serve as docking sites for downstream signaling proteins.
INSR,IRS1,ambiguous,T47D,positive,direct,1,regulates,Activated INSR recruits IRS1 and phosphorylates IRS1 on multiple tyrosine residues. Those phosphotyrosines then serve as docking sites for downstream signaling proteins.
INSR,PI3K,ambiguous,TGEN,positive,indirect,2,,causal effect mediated by IRS1
INSR,PI3K,ambiguous,MCF7,positive,indirect,2,,causal effect mediated by IRS1
Ipatasertib,AKT,ambiguous,Z17,negative ,direct,1,regulates,Ipatasertib is a small-molecule AKT inhibitor that directly binds the kinase domain of AKT1/2/3 and inhibits its catalytic activity
Ipatasertib,AKT,negative,Z21,negative ,direct,1,regulates,Ipatasertib is a small-molecule AKT inhibitor that directly binds the kinase domain of AKT1/2/3 and inhibits its catalytic activity
IRS1,AKT,ambiguous,TGEN,positive,indirect,2,,"causal effect mediated by PI3K, others"
IRS1,AKT,ambiguous,MCF7,positive,indirect,2,,"causal effect mediated by PI3K, others"
IRS1,AKT,ambiguous,T47D,positive,indirect,2,,"causal effect mediated by PI3K, others"
IRS1,GRB2,ambiguous,TGEN,positive,direct,1,regulates,"GRB2 directly binds phosphorylated IRS1 through its SH2 domain, recruiting the GRB2–SOS machinery."
IRS1,GRB2,ambiguous,MCF7,positive ,direct,1,regulates,"GRB2 directly binds phosphorylated IRS1 through its SH2 domain, recruiting the GRB2–SOS machinery"
IRS1,GRB2,ambiguous,T47D,positive ,direct,1,regulates,"GRB2 directly binds phosphorylated IRS1 through its SH2 domain, recruiting the GRB2–SOS machinery"
IRS1,JAK2,ambiguous,TGEN,positive,unsupported,,,There is a JAK2->IRS1 relationship but no evidence to support this edge.
IRS1,JAK2,ambiguous,MCF7,positive,unsupported,,,There is a JAK2->IRS1 relationship but no evidence to support this edge.
IRS1,JAK2,ambiguous,T47D,positive,unsupported,,,There is a JAK2->IRS1 relationship but no evidence to support this edge.
IRS1,PI3K,ambiguous,TGEN,positive,direct,1,regulates,protein-protein interaction. phosphorylated IRS1 proteins bind the p85 regulatory subunit of PI3K.
IRS1,PI3K,ambiguous,MCF7,positive,direct,1,regulates,protein-protein interaction. phosphorylated IRS1 proteins bind the p85 regulatory subunit of PI3K.
